Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"IG","Government Expenditure","566","Nigeria","6224","Value Standard Local Currency","23140","Fishing (general government expenditure)","2022","2022","","","","",""
"IG","Government Expenditure","566","Nigeria","6224","Value Standard Local Currency","23140","Fishing (general government expenditure)","2023","2023","","","","",""
"IG","Government Expenditure","566","Nigeria","6224","Value Standard Local Currency","23141","Fishing, Recurrent (general government expenditure)","2021","2021","","","","",""
"IG","Government Expenditure","566","Nigeria","6224","Value Standard Local Currency","23141","Fishing, Recurrent (general government expenditure)","2022","2022","","","","",""
"IG","Government Expenditure","566","Nigeria","6224","Value Standard Local Currency","23141","Fishing, Recurrent (general government expenditure)","2023","2023","","","","",""
"IG","Government Expenditure","566","Nigeria","6224","Value Standard Local Currency","23142","Fishing, Capital (general government expenditure)","2021","2021","","","","",""
"IG","Government Expenditure","566","Nigeria","6224","Value Standard Local Currency","23142","Fishing, Capital (general government expenditure)","2022","2022","","","","",""
"IG","Government Expenditure","566","Nigeria","6224","Value Standard Local Currency","23142","Fishing, Capital (general government expenditure)","2023","2023","","","","",""
"IG","Government Expenditure","566","Nigeria","6224","Value Standard Local Currency","23143","R&D Agriculture, forestry, fishing (general government expenditure)","2021","2021","","","","",""
"IG","Government Expenditure","566","Nigeria","6224","Value Standard Local Currency","23143","R&D Agriculture, forestry, fishing (general government expenditure)","2022","2022","","","","",""
"IG","Government Expenditure","566","Nigeria","6224","Value Standard Local Currency","23143","R&D Agriculture, forestry, fishing (general government expenditure)","2023","2023","","","","",""
"IG","Government Expenditure","566","Nigeria","6224","Value Standard Local Currency","23144","Environmental protection (general government expenditure)","2021","2021","","","","",""
"IG","Government Expenditure","566","Nigeria","6224","Value Standard Local Currency","23144","Environmental protection (general government expenditure)","2022","2022","","","","",""
"IG","Government Expenditure","566","Nigeria","6224","Value Standard Local Currency","23144","Environmental protection (general government expenditure)","2023","2023","","","","",""
